Test ID,Test case name,Pre-conditions,Test data,Environment,Steps,Expected result,Status,Priority,Bug ID
18,"Validate that the ""Next"" Button is clickable in the first products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
19,"Validate that the ""Previous"" Button will be clickable in the second (last) products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""Previous"" button","The ""Previous"" button is clickable",,,
20,"Validate that the ""Next"" Button is not displayed or clickable in second (last) products page",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is not displayed or clickable",,,
21,"Validate that the user can add ""Sony vaio i5"" as a product to the cart without login",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Pass,High,
,,,,,"2- Click on the ""Sony vaio i5"" product ",The Sony vaio i5 product details page will be opened,,,
,,,,,"3- Click on ""Add to cart"" button",The Sony vaio i5 product successfully added to the cart and a success message appears,,,
22,"Validate that when navigate to the ""MacBook air"" product details page the page title will contain the product name ""MacBook air""",website URL,Website URL : https://www.demoblaze.com/,"Microsoft edge ( Manual testing )
Chrome ( Automation Testing )",1- Go to the website URL : https://www.demoblaze.com/,Home page loads successfully,Fail,Medium,B6
,,,,,"2- Click on the ""Next"" button","The ""Next"" button is clickable",,,
,,,,,"2- Click on the ""MacBook air"" product ","The MacBook air product details page will be opened and the Page title contains the product name ""MacBook air""",,,
